sequence_id,cluster_id,target_year,lookback_steps,input_year_1,input_year_2,input_year_3,t_minus_1_mean_temp,t_minus_1_mean_vpd,t_minus_1_mean_yield,t_minus_1_total_precip_mean,t_minus_1_total_gdd_mean,t_minus_2_mean_temp,t_minus_2_mean_vpd,t_minus_2_mean_yield,t_minus_2_total_precip_mean,t_minus_2_total_gdd_mean,t_minus_3_mean_temp,t_minus_3_mean_vpd,t_minus_3_mean_yield,t_minus_3_total_precip_mean,t_minus_3_total_gdd_mean,target_value
11,6,2017,3,2014,2015,2016,-0.4677171425703162,-0.6449505662267762,-0.2224244376512042,-0.19080978774649948,-0.4834200060600714,-0.27281763861564734,-0.4185938841692241,0.32103303429891084,0.3230698645031006,-0.2820236241897625,-0.5924199062486123,-0.5181644479216461,1.048279782941509,0.33605477355724234,-0.6454288640073853,0.5149909002424787
12,7,2017,3,2014,2015,2016,-0.10982409957917491,-0.5583301099889937,-0.2951264052138978,-0.04793825951205598,-0.1136972910469439,-0.36469198600906216,-0.6195689807323389,-0.08851218621445074,0.16364820652045975,-0.38203419877710704,-0.6259627701606288,-0.6061623529247534,0.6851174476171737,0.20117684540526218,-0.6505644986050916,1.0248837465643843
13,7,2018,3,2015,2016,2017,-0.03808089671747966,-0.47127997030259955,1.0248837465643843,-0.1279868462533393,0.016071492592696388,-0.10982409957917491,-0.5583301099889937,-0.2951264052138978,-0.04793825951205598,-0.1136972910469439,-0.36469198600906216,-0.6195689807323389,-0.08851218621445074,0.16364820652045975,-0.38203419877710704,1.1664555351159405
14,7,2019,3,2016,2017,2018,0.033662306144216766,-0.3842298306162054,1.1664555351159405,-0.2080354329946235,0.14584027623233667,-0.03808089671747966,-0.47127997030259955,1.0248837465643843,-0.1279868462533393,0.016071492592696388,-0.10982409957917491,-0.5583301099889937,-0.2951264052138978,-0.04793825951205598,-0.1136972910469439,2.4020744303494928
15,8,2019,3,2016,2017,2018,-0.8155084387321998,-0.7818690585654534,0.432230271675107,-0.2798652478201357,-0.78247939733028,-1.0405865722027507,-0.5006971057649557,0.26628055095647224,-0.9249074929721196,-1.038885087025395,-0.7116693544944606,-0.4122877893541396,-0.23356252169904337,-0.2988547390958456,-0.7832207337052629,0.6739155276144275
16,9,2017,3,2014,2015,2016,-0.9360601712604244,-0.7933619611286452,0.09417063174915055,1.6820569357995663,-0.9669324826303315,-0.9231277648451676,-0.2996959412472156,0.13641194328624176,-0.07218176023163848,-1.0020868684121216,-1.2401616384767826,-0.5998427710982905,-1.157255989781859,-0.7591059663790622,-1.280947529465409,-0.13691060723552878
17,9,2018,3,2015,2016,2017,-1.1879979180549674,-0.5722477520411458,-0.13691060723552878,-0.22004459743776045,-1.192674780815291,-0.9360601712604244,-0.7933619611286452,0.09417063174915055,1.6820569357995663,-0.9669324826303315,-0.9231277648451676,-0.2996959412472156,0.13641194328624176,-0.07218176023163848,-1.0020868684121216,-0.6349819741737796
18,9,2019,3,2016,2017,2018,-0.9789270288886149,-0.7373669037300714,-0.6349819741737796,1.0785213652541736,-0.8593205241980555,-1.1879979180549674,-0.5722477520411458,-0.13691060723552878,-0.22004459743776045,-1.192674780815291,-0.9360601712604244,-0.7933619611286452,0.09417063174915055,1.6820569357995663,-0.9669324826303315,-0.17789202620212255
19,11,2017,3,2014,2015,2016,0.8698463827602778,-0.3631710029141831,-0.66895270298579,3.2370936166302395,0.9537626248955844,0.8941918639280173,0.02691679020985254,0.3602730203053149,0.8044872441173462,0.9616379808790965,0.600363972717066,-0.4264083889157951,-0.9022798411389583,0.8698621330546723,0.73284438515073,-0.36195784737204234
20,11,2018,3,2015,2016,2017,0.8230545850032613,-0.17578675695599164,-0.36195784737204234,0.7374610950690894,0.990077363264304,0.8698463827602778,-0.3631710029141831,-0.66895270298579,3.2370936166302395,0.9537626248955844,0.8941918639280173,0.02691679020985254,0.3602730203053149,0.8044872441173462,0.9616379808790965,0.8383888833650013
21,11,2019,3,2016,2017,2018,1.0245649904191556,-0.12975047140634452,0.8383888833650013,2.402907031498852,1.127041944543722,0.8230545850032613,-0.17578675695599164,-0.36195784737204234,0.7374610950690894,0.990077363264304,0.8698463827602778,-0.3631710029141831,-0.66895270298579,3.2370936166302395,0.9537626248955844,-0.07202502598229066
22,14,2017,3,2014,2015,2016,-0.8454067153817356,0.16621546461593906,-1.600805080125636,-1.137094417226793,-0.8003037023461694,-1.0540073352238963,-0.3190986353496619,-1.2332013247755784,-0.12569759928136673,-1.0563870718782482,-1.350729191506794,-0.7365486897531394,-0.26504113486219905,-0.4848466734089263,-1.4335768706683756,0.14321909101280877
23,14,2018,3,2015,2016,2017,-1.2034444566264755,-0.6938011541940093,0.14321909101280877,0.06104490780941017,-1.1877755143371445,-0.8454067153817356,0.16621546461593906,-1.600805080125636,-1.137094417226793,-0.8003037023461694,-1.0540073352238963,-0.3190986353496619,-1.2332013247755784,-0.12569759928136673,-1.0563870718782482,-0.13755096108672477
24,14,2019,3,2016,2017,2018,-0.9312670416100146,-0.6825183237168191,-0.13755096108672477,0.47461050831993323,-0.8415821712256424,-1.2034444566264755,-0.6938011541940093,0.14321909101280877,0.06104490780941017,-1.1877755143371445,-0.8454067153817356,0.16621546461593906,-1.600805080125636,-1.137094417226793,-0.8003037023461694,1.393221219669045
25,15,2018,3,2015,2016,2017,-0.6370412302016699,-0.455408734499472,0.2089815230684706,-0.4776411747430439,-0.6220928842035808,-0.1000298365388094,0.061949454925397954,-0.20174903448517104,-1.6961960793325799,-0.12697688176402602,-0.4615584231515829,-0.4121765818892993,0.12927552335827994,-0.8839262193099151,-0.45833275337043844,0.9657288389269628
26,18,2017,3,2014,2015,2016,1.0466133868110403,3.008306656154958,0.02440154244781075,-1.5218004944349024,0.8088528515973291,0.8919219100747097,2.7328206989797397,0.38046414921600014,-1.3793230169087503,0.6851007110010269,0.7372304333383813,2.457334741804523,-0.9931387656417228,-1.2368455393825977,0.5613485704047246,-0.43587489418955544
27,18,2018,3,2015,2016,2017,1.20130486354737,3.2837926133301756,-0.43587489418955544,-1.6642779719610554,0.9326049921936314,1.0466133868110403,3.008306656154958,0.02440154244781075,-1.5218004944349024,0.8088528515973291,0.8919219100747097,2.7328206989797397,0.38046414921600014,-1.3793230169087503,0.6851007110010269,-0.27846505131770155
28,18,2019,3,2016,2017,2018,1.3559963402836983,3.5592785705053918,-0.27846505131770155,-1.8067554494872076,1.0563571327899337,1.20130486354737,3.2837926133301756,-0.43587489418955544,-1.6642779719610554,0.9326049921936314,1.0466133868110403,3.008306656154958,0.02440154244781075,-1.5218004944349024,0.8088528515973291,0.001219213578064381
29,19,2017,3,2014,2015,2016,-0.8768333673348919,-0.9057160039751053,-0.09134504793650886,0.6429264537182718,-0.9375798597831889,-0.9842446897083138,-0.44430215990631117,0.013865651003250375,-0.28984786576349264,-1.0775688785924284,-1.3230737377880166,-0.9281047567878133,0.8516983932049845,-0.21456541616057917,-1.4040415997288462,1.1126854359900014
30,19,2018,3,2015,2016,2017,-1.2437067456899147,-0.9471801626286573,1.1126854359900014,-0.004855382072302706,-1.3028599285491376,-0.8768333673348919,-0.9057160039751053,-0.09134504793650886,0.6429264537182718,-0.9375798597831889,-0.9842446897083138,-0.44430215990631117,0.013865651003250375,-0.28984786576349264,-1.0775688785924284,0.3869728204031816
31,19,2019,3,2016,2017,2018,-0.9887393792106788,-0.9425102556296038,0.3869728204031816,2.5727616510914677,-0.9195030706395885,-1.2437067456899147,-0.9471801626286573,1.1126854359900014,-0.004855382072302706,-1.3028599285491376,-0.8768333673348919,-0.9057160039751053,-0.09134504793650886,0.6429264537182718,-0.9375798597831889,0.6644589801352198
